,Tonsil 1,Denoised Tonsil 1,Tonsil 2,Denoised Tonsil 2,Breast,Denoised Breast,Brain,Denoised Brain,SPICESS,SPICESS 2,JAMIE,JAMIE 2,cTPnet,cTPnet 2,cross-val,cross-val 2
CD163,0.24051837876078225,0.2103437215238586,0.3597371776371265,0.445572681742611,0.2505793020420733,0.20509724823379138,0.6197331240383464,0.7766522582563239,0.6230969979959985,0.4475929027277498,0.3667561499564689,0.0280489292605667,0.16618675,0.001914252,0.6452294409564289,0.6829573416063164
CR2,0.40633794264618767,0.4261493097271404,0.4605909043326159,0.5606808271345894,0.1675076187411306,0.04909408944958765,-0.061706235337355295,-0.06596612374060826,0.5817579389654802,0.4838652663343067,0.6296251703079151,0.4434057313695355,0.10663465,-0.03428256,0.6789630079293382,0.6720477313370669
PCNA,0.2848175942742012,0.4562143182373586,0.2636129204813882,0.5357177245377192,0.467913463687229,0.8929683005038701,0.4704987966491736,0.780446249057031,0.5451633363760457,0.5410200357402756,0.3868020632624855,0.3981586750795911,0.46751786,0.43581319,0.6478201576197176,0.660201977051099
VIM,0.03083958413688007,0.4272128430304541,0.3981517439239078,0.6595515129720917,0.5067040843471572,0.8036085584162254,-0.09870175376199057,0.13720226010953357,0.7288518348133798,0.5004713182624916,0.3711473083243317,0.2512626241641462,0.22488349,0.20050205,0.7044955139992188,0.7434547829415195
KRT5,0.6649171020082081,0.7101733043406528,0.7406348815378536,0.828251093225888,0.26177741253644565,0.22243343349934735,-0.02102692781505584,-0.03083678074788252,0.7750961910120093,0.6162180156674293,0.7570477336021189,0.6680730363261986,0.78040825,0.67803338,0.7501253654476472,0.7813125044996695
CD68,0.10053764367508589,0.18106134906482876,0.2914499612917549,0.4542638421678613,0.3489758222065634,0.6009836158586115,0.6931319192927727,0.699646355767664,0.5358139830994888,0.257044572891049,-0.0818885798010043,-0.1655206671431267,0.14401117,0.1005019,0.5389868297887046,0.5895963882150563
CEACAM8,-0.0274173474634833,-0.45482276164912394,-0.03324237963255552,-0.4327763886468994,0.009864465600850542,-0.02647520290200345,-0.03615250931406987,0.0752795105027045,0.25925098145843806,0.28081043661913885,-0.0509589590498809,-0.0065195424276279,0.28289082,0.37469284,0.4479415723025332,0.46545947697331125
PTPRC_1,-0.25445651381474793,-0.14313105895829745,0.18688653920183543,0.30392794423219355,0.3498590117200047,0.8033800133997461,0.27310250889608734,0.4643471043309098,0.7149201301706161,0.5473899023615043,0.2401342098151988,0.1291009180059935,0.15640793,0.03762413,0.7190203412408946,0.732528197222642
PAX5,0.8049810445445077,0.8728309482869379,0.7108098717554202,0.8249407410009721,0.6216179192063254,0.8719459105587122,-0.021023772047013445,-0.12873399004606872,0.7919610648523462,0.7280035747420517,0.6290971776035943,0.705617459609998,0.61803445,0.7252587,0.7996612315879066,0.8314124826728954
SDC1,0.08552219709041033,0.00730464316095679,0.46001772238348015,0.5445962169392133,0.09597269513895422,-0.025063824847561048,-0.05779852190856126,-0.23210555112973547,0.16277739987687004,0.19887183914920525,0.161757571618231,-0.0702134154131551,0.0634228,0.012243785,0.33701038923481785,0.5008802751358283
PTPRC_2,0.060994807930704394,0.354948049420256,0.5554641781160363,0.7540225432117359,0.4341907547243204,0.8558928148369088,0.0957941660597544,0.3449770498582588,0.8255819900085226,0.7700703982724848,0.7971249154426313,0.6483727897577959,0.60857367,0.47864282,0.8359877897276071,0.8351217196745968
CD8A,0.4215306303343827,0.7992880502211148,0.4756498933640343,0.8877700511407638,0.3418228289369414,0.8550804173099085,0.0896772707051755,-0.13899524266578386,0.8554514060289259,0.8043300395377389,0.8359995579356679,0.7543826981925844,0.48821766,0.35163076,0.8484249407247597,0.8526154382325546
BCL2,0.4021532195585942,0.7114086969647844,0.3347473044176355,0.5838075076233481,0.6488726376938463,0.8277223838063904,0.04481968725468531,-0.026770889857985015,0.7678181089274037,0.6566422403287975,0.8108500853277617,0.603044919040727,0.27047916,0.0775859,0.7611001048186719,0.8032522648124677
CD19,0.49205465054999764,0.6113818159064385,0.6519535998536785,0.8038720305517864,0.4188357793396719,0.716378620972522,0.009907355271540018,0.12042724893294841,0.7366529588025116,0.6384740497954872,0.4618434034637381,0.4307529078103143,0.16951183,0.20474063,0.7677148769427636,0.7685764152586322
PDCD1,0.4111956328495955,0.7009908930659853,0.4375033406751833,0.8331349463720181,0.2096665102869123,0.72249350658683,-0.012914586663961745,-0.03464406741919536,0.715700053441407,0.6616772998640595,0.7266735600620976,0.6907113114859312,0.54449802,0.47380738,0.7802930066988757,0.7641145575866415
ACTA2,0.14604197568397337,0.4789568634963032,0.3104183690949105,0.7820936072546569,0.32313711267977924,0.6939848498477603,0.2672955871025766,0.35776479198692945,0.8065520145912369,0.7017790720222343,0.5959189129395225,0.5221937391685686,0.728476,0.6472691,0.8065511612746381,0.8055716217083974
FCGR3A,0.26607857606737145,0.610438094067531,0.21118900394772336,0.6324906962472894,0.36440903634922783,0.7477998545152307,0.0895233904982217,0.3928919596221476,0.35830441383456796,0.3481782105691866,0.3027755955667925,0.0788347146544506,0.02163365,0.011240641,0.45877318132104883,0.46405560170616716
ITGAX,0.15967966013701804,0.30401828527975233,0.2844226746528474,0.3742589617947618,0.45671994621006323,0.673333356983606,-0.00428982588391586,0.36741886756400827,0.6221190164711174,0.3928406825811246,0.4500829809824492,0.1963044667253708,0.46274773,0.3014324,0.6376054950285295,0.6836378847632943
CXCR5,0.49056120097058575,0.7313362530585521,0.5802513745904392,0.9085641107647622,0.448926421141123,0.9094154784671172,0.010533597313174393,0.2311082608895384,0.8539250133259605,0.7676264227641705,0.7752133004404608,0.6621749172783141,0.710145,0.63072135,0.8457053785665906,0.8590523044121267
EPCAM,-0.004439313631570078,-0.05786006454012432,0.3238556871240281,0.4865693984892616,0.8442503196532504,0.9502478420119931,0.0621164626933022,0.40388265524186523,0.3328047516089056,0.39847188130672345,0.2339719511343174,0.0893087799482488,0.0043701,0.11991998,0.544268487037051,0.5504701104396408
MS4A1,0.32919697005421805,0.4374525611880854,0.6093600943747959,0.6803136779635921,0.8294078737051034,0.9088605453304762,0.008752639555602924,0.05544848390929098,0.753003550947556,0.6112760187669243,0.3622184624720135,0.3953535059107228,0.43033689,0.42497613,0.7544091108428785,0.7690193277834365
CD3E,0.6297415028683782,0.8262531698136412,0.7357831339537609,0.9250895815020642,0.5953583343215769,0.9457209897520947,0.2262394251143789,0.31880635605711305,0.8918971826585727,0.8513133035554891,0.890314374107166,0.805748897659026,0.53942356,0.48182054,0.8845317904107395,0.8901552946435134
CD14,0.04777002960874149,0.17966300295880797,0.11024107996514435,0.21394580301744465,0.21627764771952507,0.4095197411453304,0.39179731037557547,0.7855965088341086,0.4497976926637411,0.40193378359832455,0.3863695245710656,0.169343617902289,0.20805582,-0.04268672,0.5818078928824001,0.601466362060486
CD40,0.14259829540598556,0.2623625840462158,0.07332151162096842,0.22497975814921978,0.2844881243795066,0.6378622864873251,-0.07424890093541654,0.17377615922800319,0.5760473418536185,0.37836480319147137,0.0611114314932055,0.0281862169413453,0.00929332,0.02204037,0.6116896020556144,0.6260638410499655
PECAM1,0.44323306848819877,0.6392216019649625,0.7040981568595076,0.8157977154879003,0.4428780600581214,0.6543433290599334,0.1662921904192214,0.5763063474639277,0.6975814939465556,0.5855065781077161,0.4109448410089455,0.3859845402577579,0.3984627,0.3417101,0.7268840679536018,0.7127558314146144
CD4,0.3314044498648106,0.5323617564837767,0.4708227798811679,0.6688435373483901,0.3769407562423242,0.47097251273336255,0.5812053382162242,0.4798625524546322,0.6128900793452701,0.5459309871417191,0.5120334862524156,0.0493974716091984,0.08487084,-0.034394351,0.7044345718281337,0.7021241724442001
ITGAM,0.15512987026207467,0.2886859712699282,0.19540834027014198,0.36339308821455046,0.12977508015873485,0.21970529357436652,-0.05260806542401166,0.28608276271502275,0.506761521326952,0.6136137837858848,0.2275354302061446,0.5232063873206144,0.44519346,0.76969396,0.685078864845921,0.6473944087184644
CD27,0.0843377743476168,0.31313485333716107,0.1009029557338931,0.13585978282671743,0.42261520696095695,0.7704204050979486,0.07022038274799747,-0.021856864416774525,0.573988754283746,0.5998601452334155,0.4272886785567991,0.3399862815204798,0.2416638,0.14394647,0.6575709457404656,0.7028062407161738
CCR7,0.46244445276988677,0.5478443052672924,0.34486966803419494,0.382202994267355,0.47439828332849615,0.4231065851140399,0.07072406492955767,-0.2226852660880754,0.7124354367705606,0.6375924400947295,0.7349459854084923,0.4270846510975067,0.0326007,0.02554603,0.7450497083259514,0.7721279418451928
CD274,0.26321746223957976,0.5457724685790589,0.2220649270582999,0.6208178345869062,0.23295976883375186,0.5425791265093614,0.17904055384109008,0.37117099403931786,0.4165346779857946,0.25162016758764827,0.3670271390748836,0.0986928037725141,0.2219075,0.10107991,0.513821535658312,0.5572514740788173
