,CORR_0,CORR_1,CORR_2,CORR_3,CORR_4,CORR_5,CORR_6,CORR_7,CORR_8,CORR_9
CD163,0.7270848162213639,0.7462567133503645,0.7283063798132624,0.7277031012476194,0.7411549401215991,0.7503671283743653,0.7454005619109393,0.7399484531648151,0.7290956679381153,0.7392839946537278
CR2,0.7638407365249557,0.7606190692733703,0.7326349362809719,0.7545054390101806,0.7723917989424712,0.7669211036647475,0.7625651111572177,0.7748786819471225,0.7540845176562563,0.7683363006055145
PCNA,0.8264828214787051,0.8255633437328544,0.803637888774007,0.8155424178289183,0.8235180858096469,0.8226820528979296,0.8165318864917607,0.8182077974099651,0.819352926837828,0.8186401975988054
VIM,0.9026672831215478,0.9054872834965871,0.9033959925182662,0.9032191679879186,0.8990548928415146,0.8984778840332364,0.901920357247109,0.9022316483206408,0.8996872758250767,0.9055208720380374
KRT5,0.9080729105189621,0.9065225044961928,0.9034707156367408,0.9017322316543799,0.9025538025913895,0.9076585223444742,0.9049678566450929,0.9070560306680037,0.8988764428880888,0.8953720292729206
CD68,0.7777748482207757,0.7525663939884008,0.760213997180439,0.7542550114495772,0.7595761028906176,0.7549696460670827,0.7554173057280468,0.7533513847835454,0.7444467571059191,0.7629504653753827
CEACAM8,0.722922888794447,0.7159554573628937,0.7047413590781845,0.7218303928741568,0.7091973460024728,0.72577073923484,0.7043359971530309,0.7148466634947134,0.6925335540705139,0.7232641689709405
PTPRC_1,0.8442768488014541,0.8538342295214252,0.84998072834869,0.8474606341572927,0.8507657165616298,0.8556766820195014,0.8419090506004028,0.8542370121973858,0.8452449452916375,0.8502143556783075
PAX5,0.8504633318472872,0.8584522717826084,0.8577947676519541,0.8517900014641178,0.8511164654582355,0.8562919404706574,0.8601368900901539,0.8574417800128603,0.8620477895253907,0.8613944672012898
SDC1,0.8571614196078163,0.8426626172821509,0.8415159649997639,0.8501781725729455,0.8428665190022252,0.8478775161256078,0.838792000969515,0.8503144873451643,0.8439175627510916,0.8598540556282993
PTPRC_2,0.8830897953134713,0.8800445309404252,0.873490588169472,0.8845090638792624,0.8839213696961834,0.8847075946860395,0.8759673373167548,0.8781442397032541,0.8794645139500551,0.8822752170432789
CD8A,0.8756066408941979,0.8741723550942097,0.8752158044703265,0.8822123491595268,0.877526828746057,0.8764287418618076,0.8769909187149959,0.8728969360890296,0.8674069228936929,0.8791236639660688
BCL2,0.8328839086841977,0.8080067958215245,0.8135858242765263,0.8238439817455813,0.8262107311388722,0.8204753953378602,0.8182242528080378,0.8155746823332741,0.8286623091683379,0.8042010461106133
CD19,0.7909029779372827,0.7702012122442873,0.770855527865393,0.7636576193838113,0.761128438297231,0.768810795503368,0.7821205743357651,0.7772249863800201,0.76003499308436,0.7906508091708986
PDCD1,0.7986313911243753,0.7883864106937255,0.7755683824791835,0.7851783542835687,0.7980482745179108,0.791454348060762,0.7937318905321493,0.8029101478398036,0.7795716060266061,0.8077495804274963
ACTA2,0.869793969798411,0.8609268291294798,0.8534319261395401,0.8526205104393275,0.8602684591886489,0.8613233451094272,0.858961900369835,0.8549558195853607,0.8589858894754613,0.8587967160764074
FCGR3A,0.8443960740653377,0.8342392158884376,0.8328066593535486,0.8375153268762163,0.8380020940580375,0.8446812903752702,0.8366524660241849,0.8397012133100958,0.8398393914425605,0.8266761327657213
ITGAX,0.7890194661947143,0.7924085255295993,0.7612164513138056,0.7928266000756045,0.7992065865353307,0.7838987116602267,0.749493892249487,0.7894483141379413,0.7703192643202255,0.7818916102409832
CXCR5,0.8937355616054177,0.8992265291546964,0.8927867593519192,0.8971404066496717,0.8947707304621111,0.8980316072443885,0.8960151347069126,0.8913661269104883,0.8913984105634417,0.9003038707055595
EPCAM,0.8998173075630916,0.8996091658055739,0.900283359813088,0.9044371503177954,0.8975870917260684,0.8988657816111038,0.8985990807728285,0.9080568562514071,0.9008392003138956,0.8987379174965218
MS4A1,0.871307674801899,0.8723458169457783,0.8700410236195529,0.8708089588275579,0.870790449414325,0.8724333695391574,0.8686722741261139,0.8712116379684011,0.8732013596112826,0.8711019392195151
CD3E,0.9117311784724328,0.9111197873841399,0.9091087502849805,0.9163358771619812,0.9139599239534107,0.9132009339562998,0.9076904645868317,0.9169570889479819,0.9066937457066122,0.9183059554816935
CD14,0.831373559536121,0.8122709141815514,0.7932538909772459,0.8020851264237261,0.8140355164835008,0.8174654535472475,0.8127070849828331,0.8056909778445938,0.8131867763878076,0.8116672013683387
