,CORR_0,CORR_1,CORR_2,CORR_3,CORR_4,CORR_5,CORR_6,CORR_7,CORR_8,CORR_9
CD163,0.7837241879806336,0.7885908979819839,0.7944156395471085,0.7831411992407441,0.7765065918107606,0.7858207594917632,0.7843157250408689,0.7762760388763752,0.7770095682374363,0.8121981886874646
CR2,0.739441712756097,0.7522998721113665,0.7356779486287467,0.7377098582055289,0.743979771518771,0.7063129395129737,0.744228548002244,0.7483773656450008,0.7346102093333913,0.7480917183846861
PCNA,0.8407489559494917,0.8395997894116887,0.8385262013780652,0.8437398425378874,0.8330542929365493,0.8228486312591927,0.8353615967140832,0.8408496573105981,0.8344353922844492,0.8525187388900661
VIM,0.6884590697411886,0.6705374360549916,0.6670234335233558,0.666709546663939,0.6637875051310933,0.6778069587085821,0.6808578247334329,0.6765101742254175,0.6741031619965672,0.6581805801241088
KRT5,0.553001537912239,0.5887425533156125,0.569188354177069,0.5645236020851863,0.5444932562945971,0.5321920262451633,0.5330522788998034,0.5489725201811099,0.5558942484045047,0.527867526168124
CD68,0.8550946158974506,0.844864782644424,0.8483278190277238,0.8498563532766045,0.843785706713464,0.8358170326596829,0.8552226603355608,0.853719841521331,0.8435863322526144,0.8554903678585577
CEACAM8,0.7386557444588725,0.7376804977317499,0.7096670498089831,0.7186020983491038,0.7083359698209318,0.6948071061443871,0.7274972219758933,0.7239395054455439,0.7132195778167411,0.737255415039209
PTPRC_1,0.7199700609653703,0.7248829422087955,0.7127365938478686,0.7284290251026208,0.7214186499956422,0.7011725672354027,0.7217433256535557,0.7064290554440483,0.7156155254586022,0.7275272645376568
PAX5,0.5986254995004708,0.5925127252608745,0.5961560525863622,0.5916704280078865,0.6031641893934787,0.5801008895309835,0.5976572209033536,0.6101017926022176,0.5981899679703393,0.6243070856288577
SDC1,0.6881018575257837,0.7004873456086155,0.6718569733559269,0.696549707264539,0.6835873696464478,0.6491107919593784,0.6891039215384336,0.6720720283837346,0.6817424365951927,0.6960074946826661
PTPRC_2,0.681659523353778,0.694514907672535,0.7093533321390866,0.7080843965671043,0.6907686148556287,0.6841395611780556,0.6695209714469305,0.6604668220356856,0.6759027233333421,0.716018179834193
CD8A,0.5930637300393867,0.5865956892439714,0.5893853422995383,0.5921392685448691,0.6132519146532053,0.5780535240345281,0.5687140231127028,0.6029461566007522,0.5946329197384809,0.5969269821850235
BCL2,0.8120988181774931,0.8064374353855541,0.8118630431188854,0.790729377774737,0.819003994548013,0.7843463742781026,0.8164418729533182,0.7929872116426342,0.8180508228971795,0.8020934389491033
CD19,0.6408873762443538,0.6404558688047768,0.644751116367023,0.6517890148984934,0.6424677391061548,0.6317607193108431,0.6303368253316597,0.6650368316447816,0.6380120841974087,0.6674969433880488
PDCD1,0.7262710283888351,0.7357054186862385,0.7167031732322325,0.7249528226696744,0.7266804034627371,0.7140713227611958,0.7298181481242675,0.7392182452095692,0.726527506795672,0.7334126682015529
ACTA2,0.6180427737278735,0.5520868623919497,0.5858466876314508,0.5765016221766751,0.6072350095080157,0.5872601120247771,0.5909674114036895,0.6025268536244205,0.5825885167758026,0.5935833014674722
FCGR3A,0.7702610360967471,0.7475775281342177,0.7618197211543677,0.7507476913889024,0.7404467977613916,0.7281386063346155,0.730264114900804,0.742823741158041,0.7381988505732244,0.7411528654200249
ITGAX,0.7269859970116934,0.7407344890253647,0.730047715591261,0.7485528406895787,0.7115414475567263,0.7496926931411488,0.7402635678748991,0.7259777305695504,0.7425554672525756,0.7503194924206458
CXCR5,0.6590395689087044,0.6562806972400745,0.6622395278526357,0.653213124325632,0.6615725732663368,0.641637721831266,0.6502201229834124,0.665279482855546,0.656902511815429,0.6577093588519171
EPCAM,0.7616599158964157,0.7573882258917022,0.7616155729687175,0.7538317477122406,0.740980983503374,0.7238165743732614,0.7590781681214811,0.7626116626308886,0.7595400122298648,0.7664034178325386
MS4A1,0.7431677078286346,0.74206892042384,0.7346687591141766,0.738547240855458,0.7327526034455275,0.7306356731005514,0.7348665738039573,0.7426061193586412,0.7450791755190129,0.7441879185673096
CD3E,0.6698043641122466,0.682208885274264,0.6816590890190487,0.6754034345317386,0.6997565267978672,0.6584716109413252,0.666354268480521,0.6922473861623252,0.6699847600601544,0.6892485687269881
CD14,0.6639226992530218,0.6793052387100671,0.6941216029983627,0.6995933832783885,0.6780894796630365,0.6818386743337066,0.6599273979444664,0.6881427740308891,0.6736292019736364,0.6928457687170704
CD40,0.7486345337133502,0.7608753758178985,0.746882489360021,0.7563436155708229,0.7690960681050846,0.759346284210406,0.7631791451925568,0.7584809278701667,0.7538033584336231,0.7678620044926006
PECAM1,0.682158567241516,0.6851692501691876,0.6754958888978038,0.6897018432132093,0.6934365356841771,0.6873275374430082,0.6706473301226427,0.7035472151260397,0.6824429463251224,0.7087493083716582
CD4,0.7094369059570704,0.6970677240288686,0.6867523487464635,0.7073980425051478,0.6941979789529992,0.6630706834421044,0.6922706262889461,0.6987573088055895,0.6740175443327571,0.7039422755928616
ITGAM,0.6758229550564616,0.6980461770570382,0.6875384516981876,0.6861899931145635,0.683694951184095,0.6944458008096179,0.6846555070864615,0.6921223473233186,0.6902630933322992,0.6853155535823021
CD27,0.7597576655414514,0.7553995188063257,0.7622779219317183,0.7554127431577669,0.746643881961857,0.7226788153301532,0.7690124456442037,0.759652869924206,0.7569076906890354,0.7608899364875943
CCR7,0.6917928841185064,0.6997367577913131,0.6850578877818462,0.7026213534411038,0.6985965361711695,0.6564542784810453,0.6953653395439059,0.6889629103519929,0.6747469438753158,0.7085716004126801
CD274,0.6774965438825695,0.6775432285717927,0.6913455197977442,0.7287938304699074,0.6881003995121691,0.6742096341853747,0.7026194602802064,0.6989710726046395,0.6890789241831128,0.7024762134251628
