,CORR_0,CORR_1,CORR_2,CORR_3,CORR_4,CORR_5,CORR_6,CORR_7,CORR_8,CORR_9
CD163,0.6548410024949384,0.5504424211389294,0.6169835150944234,0.6335354364067307,0.6420538063736243,0.6392144736953297,0.6672786479235259,0.6107750035779088,0.6291285441957112,0.5867171290588638
CR2,0.5973297611489923,0.5274989718080951,0.6522254983718464,0.6500072544099471,0.5890101482676312,0.6128500739937771,0.6298132069237534,0.5362928511076923,0.4693781493483465,0.5531734742747203
PCNA,0.5061825202636823,0.5035768752769573,0.5213378213451377,0.5673484473747878,0.5563765006264336,0.583140249259201,0.5531655175649697,0.5599986834684236,0.5098004365701565,0.5907063120107088
VIM,0.6812333225175662,0.7224829017846766,0.7043214896254142,0.7334316308925963,0.7553939052634987,0.7353535910784619,0.7397198732510221,0.760514351691021,0.7354825347543325,0.7205847472752093
KRT5,0.7634057229208457,0.7976694898531442,0.785118739760247,0.7760149847214574,0.7993068590578817,0.7029860377548737,0.7704912985463005,0.7835403195354346,0.7794989632244859,0.7929294947454226
CD68,0.5078739462252786,0.4519878797927264,0.5650370988706888,0.5272870125337962,0.5530863040308819,0.5155904616082895,0.6147504575571261,0.559013314994498,0.5499640447349411,0.5135493106466613
CEACAM8,0.28404198883064014,0.24965581695868772,0.21538227017311348,0.3154212975078586,0.22865443415153486,0.28666099225733127,0.2604865636317387,0.3361775513272189,0.21558757991857494,0.2004413198276828
PTPRC_1,0.7278262643412067,0.7097230115652526,0.7226407795122842,0.6863200012935998,0.7241411243917016,0.7167277106860284,0.7401340840709375,0.6998733444651598,0.7245273735560319,0.6972876078239597
PAX5,0.7513609955366385,0.7884857820218806,0.835009180366989,0.7188490936696682,0.8331142364025804,0.8150502607172112,0.8082771244697231,0.7788778593561958,0.8003176790834986,0.7902684368990774
SDC1,0.12191437124416905,0.17647596558021914,0.1612032536591839,0.13966581708943707,0.16672209040349212,0.18435245052184257,0.14670712262067695,0.15258156723798275,0.16821857870270962,0.20993278170898777
PTPRC_2,0.8345795632348662,0.8227430630368986,0.824322478767963,0.8479988359506861,0.8487388106673279,0.8031087411162194,0.798910920422542,0.815110850771869,0.8331977211300602,0.8271089149867953
CD8A,0.8500223823900551,0.84995285419089,0.8533433643103097,0.8618731713653416,0.8465735018186461,0.8615843769953302,0.8638616133281019,0.859034512036495,0.8518565610719201,0.8564117227821689
BCL2,0.7665014013053468,0.7668196170504353,0.7716360391483315,0.7556764626319015,0.7772135189843159,0.7675466548583009,0.774686438439028,0.7746464020740045,0.7651148351602339,0.7583397196221373
CD19,0.7180142658652213,0.7246641915725807,0.7674153745374727,0.7745391263949621,0.7490026459486515,0.6792342262490176,0.7539777537818922,0.7423926366817145,0.6680229814262034,0.7892663855674007
PDCD1,0.7332023947197557,0.7118959134115415,0.746721951143742,0.7465557620690663,0.7617298008015164,0.7132582905336643,0.7285065240015861,0.6680202116805442,0.6374497131855752,0.7096599728670766
ACTA2,0.7970980277021731,0.8232091828746676,0.7576843599962994,0.8156961316119355,0.8266134305668276,0.7758141071961993,0.8123427918312728,0.815049492751537,0.8270668622215251,0.8149457591599323
FCGR3A,0.35443139824304365,0.4175126452486878,0.3066261050405021,0.3088697872943239,0.37114784065809137,0.36727605503487853,0.35999195669477185,0.4355057091997448,0.35370490054997616,0.30797774038166015
ITGAX,0.5198511168920015,0.5942945700501069,0.6434960345620052,0.6738731943377618,0.6239688453584142,0.6419323810850938,0.6113478565083577,0.5986529076716973,0.6534965311895412,0.6602767270561952
CXCR5,0.8567758694202636,0.8425291739242253,0.8650286267335793,0.845133242312814,0.871814464520076,0.8411111385387708,0.8538192755257327,0.8484777922360123,0.8559197451707028,0.8586408048774291
EPCAM,0.39237291588784007,0.26577915753378833,0.3675332062716633,0.3604764424141243,0.40721334131261294,0.34928037885414254,0.3692804551770697,0.23366302543389125,0.2508440136070648,0.33160457959685935
MS4A1,0.6729429534467859,0.7412986747581782,0.7297136619430611,0.7563751292849359,0.7645287855681527,0.7810071052334362,0.7699319256865483,0.727336753943718,0.7968291875648644,0.7900713320458794
CD3E,0.876333971811489,0.8942593672445996,0.8978972589049629,0.8845301627454367,0.8884646010722739,0.8980903276824399,0.8912239767695281,0.8957093632783708,0.8923767766660995,0.9000860204105267
CD14,0.47735129575966617,0.4173364976311178,0.45636441619947227,0.5123024265008314,0.5227132872729008,0.3023306872862094,0.4905628828986461,0.4166456033046765,0.427497643368089,0.4748721864158013
CD40,0.5936413375492933,0.5069355890053154,0.6282904455037913,0.581256232298898,0.6239031307820404,0.6010434097708596,0.5971484445972742,0.5196673122510909,0.5723787567526168,0.5362087600250043
PECAM1,0.7183625085916135,0.6929737247270575,0.6671466346257721,0.7270784314154439,0.6818450577888381,0.6307009026835763,0.6986332634033512,0.7241116014922551,0.7190221913025578,0.7159406234350905
CD4,0.5752983475083493,0.6231923154793454,0.6388804593978036,0.6506838586831044,0.6436713062230892,0.5683496103392696,0.6471798815215203,0.6044379621247921,0.5339147530839843,0.6432922990914417
ITGAM,0.5360053502298698,0.4018172430728097,0.6746754284706616,0.49327072211381073,0.6738365025085316,0.3003730082188197,0.6116196804390235,0.40119455055957626,0.38352957095581053,0.5912931567006056
CD27,0.5461122526536997,0.5904365183500184,0.5646745809641055,0.5663337783264538,0.5758601380553888,0.5810378836861956,0.5575715794067417,0.5798690175123405,0.6035977126840506,0.5743940811984651
CCR7,0.7481614744034107,0.6456226482409391,0.7300854759670997,0.7223676735081872,0.735159503908391,0.7295437546835496,0.7380268910241342,0.7042016996034516,0.6982203429365159,0.6729649034299278
CD274,0.3706600102853498,0.4607835150463251,0.4427559555459625,0.4270803364688869,0.37275087519113514,0.4457963707762282,0.4062743469545595,0.4730349711918048,0.40175733339081937,0.36445306500687474
